canonical,jail_type,hierarchy,role,sanctioned,filled
Thirumayam,sub_jail,general,Grade II Warder,6,4
Thiruvadanai,sub_jail,general,Assistant Jailer,1,0
Thiruvadanai,sub_jail,general,Chief Head Warder,2,2
Thiruvadanai,sub_jail,general,Grade I Warder,2,1
Thiruvadanai,sub_jail,general,Grade II Warder,6,5
Thiruvarur,women_sub_jail,women,Assistant Jailer,1,1
Thiruvarur,women_sub_jail,women,Chief Head Warder,2,2
Thiruvarur,women_sub_jail,women,Grade I Warder,2,2
Thiruvarur,women_sub_jail,women,Grade II Warder,6,6
Thiruvidaimaruthur,sub_jail,general,Assistant Jailer,1,0
Thiruvidaimaruthur,sub_jail,general,Chief Head Warder,2,2
Thiruvidaimaruthur,sub_jail,general,Grade I Warder,2,2
Thiruvidaimaruthur,sub_jail,general,Grade II Warder,6,3
Thoothukudi @ Perurani,district_jail,general,Assistant Jailer,4,4
Thoothukudi @ Perurani,district_jail,general,Chief Head Warder,7,7
Thoothukudi @ Perurani,district_jail,general,Deputy Jailer,1,1
Thoothukudi @ Perurani,district_jail,general,Grade I Warder,4,4
Thoothukudi @ Perurani,district_jail,general,Grade II Warder,14,14
Thoothukudi @ Perurani,district_jail,general,Jailer,1,0
Thuckalay,women_sub_jail,women,Assistant Jailer,1,1
Thuckalay,women_sub_jail,women,Chief Head Warder,2,2
Thuckalay,women_sub_jail,women,Grade I Warder,2,2
Thuckalay,women_sub_jail,women,Grade II Warder,6,6
Thuraiyur,sub_jail,general,Assistant Jailer,1,0
Thuraiyur,sub_jail,general,Chief Head Warder,2,2
Thuraiyur,sub_jail,general,Grade I Warder,2,2
Thuraiyur,sub_jail,general,Grade II Warder,6,6
Tiruchirappalli,central_jail,general,Assistant Jailer,11,9
Tiruchirappalli,central_jail,general,Chief Head Warder,34,34
Tiruchirappalli,central_jail,general,Deputy Jailer,3,2
Tiruchirappalli,central_jail,general,Grade I Warder,76,76
Tiruchirappalli,central_jail,general,Grade II Warder,148,144
Tiruchirappalli,central_jail,general,Jailer,2,2
Tiruchirappalli,spw,women,Assistant Jailer,4,4
Tiruchirappalli,spw,women,Chief Head Warder,5,5
Tiruchirappalli,spw,women,Deputy Jailer,1,1
Tiruchirappalli,spw,women,Grade I Warder,21,21
Tiruchirappalli,spw,women,Grade II Warder,41,28
Tiruchirappalli,spw,women,Jailer,1,1
Tirupathur,sub_jail,general,Assistant Jailer,1,1
Tirupathur,sub_jail,general,Chief Head Warder,2,2
Tirupathur,sub_jail,general,Grade I Warder,2,2
Tirupathur,sub_jail,general,Grade II Warder,6,6
Tiruppathur,sub_jail,general,Assistant Jailer,1,0
Tiruppathur,sub_jail,general,Chief Head Warder,2,2
Tiruppathur,sub_jail,general,Grade I Warder,2,2
Tiruppathur,sub_jail,general,Grade II Warder,6,6
Tiruppur (Annex),women_sub_jail,women,Assistant Jailer,1,1
Tiruppur (Annex),women_sub_jail,women,Chief Head Warder,2,2
Tiruppur (Annex),women_sub_jail,women,Grade I Warder,2,2
Tiruppur (Annex),women_sub_jail,women,Grade II Warder,4,3
Tiruthani,sub_jail,general,Assistant Jailer,1,1
Tiruthani,sub_jail,general,Chief Head Warder,2,2
Tiruthani,sub_jail,general,Grade I Warder,2,2
Tiruthani,sub_jail,general,Grade II Warder,5,5
Tiruvallur,sub_jail,general,Assistant Jailer,1,0
Tiruvallur,sub_jail,general,Chief Head Warder,2,2
Tiruvallur,sub_jail,general,Grade I Warder,2,1
Tiruvallur,sub_jail,general,Grade II Warder,4,4
Tiruvannamalai,sub_jail,general,Assistant Jailer,1,1
Tiruvannamalai,sub_jail,general,Chief Head Warder,2,2
Tiruvannamalai,sub_jail,general,Grade I Warder,2,2
Tiruvannamalai,sub_jail,general,Grade II Warder,6,6
Udumalaipettai,sub_jail,general,Assistant Jailer,1,1
Udumalaipettai,sub_jail,general,Chief Head Warder,2,2
Udumalaipettai,sub_jail,general,Grade I Warder,2,2
Udumalaipettai,sub_jail,general,Grade II Warder,6,6
Ulundurpet,sub_jail,general,Assistant Jailer,1,1
Ulundurpet,sub_jail,general,Chief Head Warder,2,2
Ulundurpet,sub_jail,general,Grade I Warder,2,2
Ulundurpet,sub_jail,general,Grade II Warder,6,6
Usilampatti,sub_jail,general,Assistant Jailer,1,1
Usilampatti,sub_jail,general,Chief Head Warder,2,2
Usilampatti,sub_jail,general,Grade I Warder,2,2
Usilampatti,sub_jail,general,Grade II Warder,6,6
Uthamapalayam,sub_jail,general,Assistant Jailer,1,1
Uthamapalayam,sub_jail,general,Chief Head Warder,2,2
Uthamapalayam,sub_jail,general,Grade I Warder,2,2
Uthamapalayam,sub_jail,general,Grade II Warder,6,6
Uthangarai,sub_jail,general,Assistant Jailer,1,1
Uthangarai,sub_jail,general,Chief Head Warder,2,2
Uthangarai,sub_jail,general,Grade I Warder,2,2
Uthangarai,sub_jail,general,Grade II Warder,6,6
Vandavasi,sub_jail,general,Assistant Jailer,1,1
Vandavasi,sub_jail,general,Chief Head Warder,2,2
Vandavasi,sub_jail,general,Grade I Warder,2,2
Vandavasi,sub_jail,general,Grade II Warder,6,6
Vaniyambadi,sub_jail,general,Assistant Jailer,1,1
Vaniyambadi,sub_jail,general,Chief Head Warder,2,2
Vaniyambadi,sub_jail,general,Grade I Warder,2,2
Vaniyambadi,sub_jail,general,Grade II Warder,6,6
Vedasandur,sub_jail,general,Assistant Jailer,1,1
Vedasandur,sub_jail,general,Chief Head Warder,2,2
Vedasandur,sub_jail,general,Grade I Warder,2,2
Vedasandur,sub_jail,general,Grade II Warder,6,6
Vellore,central_jail,general,Assistant Jailer,14,13
Vellore,central_jail,general,Chief Head Warder,29,27
Vellore,central_jail,general,Deputy Jailer,3,3
Vellore,central_jail,general,Grade I Warder,73,72
Vellore,central_jail,general,Grade II Warder,120,106
Vellore,central_jail,general,Jailer,2,2
Vellore,spw,women,Assistant Jailer,3,3
Vellore,spw,women,Chief Head Warder,5,5
Vellore,spw,women,Deputy Jailer,1,1
Vellore,spw,women,Grade I Warder,17,15
Vellore,spw,women,Grade II Warder,33,25
Vellore,spw,women,Jailer,1,0
Villupuram,district_jail,general,Assistant Jailer,3,2
Villupuram,district_jail,general,Chief Head Warder,5,5
Villupuram,district_jail,general,Deputy Jailer,1,1
Villupuram,district_jail,general,Grade I Warder,3,3
Villupuram,district_jail,general,Grade II Warder,17,17
Villupuram,district_jail,general,Jailer,1,0
Villupuram,women_sub_jail,women,Assistant Jailer,1,1
Villupuram,women_sub_jail,women,Chief Head Warder,2,2
Villupuram,women_sub_jail,women,Grade I Warder,2,2
Villupuram,women_sub_jail,women,Grade II Warder,6,6
Virudhachalam,sub_jail,general,Assistant Jailer,1,1
Virudhachalam,sub_jail,general,Chief Head Warder,2,2
Virudhachalam,sub_jail,general,Grade I Warder,2,2
Virudhachalam,sub_jail,general,Grade II Warder,6,6
Walajah,sub_jail,general,Assistant Jailer,1,1
Walajah,sub_jail,general,Chief Head Warder,2,2
Walajah,sub_jail,general,Grade I Warder,2,2
Walajah,sub_jail,general,Grade II Warder,6,6
