canonical,jail_type,hierarchy,role,sanctioned,filled
D.J. Dindigul,district_jail,general,Chief Head Warder,5,5
D.J. Dindigul,district_jail,general,Deputy Jailer,1,1
D.J. Dindigul,district_jail,general,Grade I Warder,4,4
D.J. Dindigul,district_jail,general,Grade II Warder,17,17
D.J. Dindigul,district_jail,general,Jailer,1,0
D.J. Pudukkottai,district_jail,general,Assistant Jailer,5,5
D.J. Pudukkottai,district_jail,general,Chief Head Warder,8,8
D.J. Pudukkottai,district_jail,general,Deputy Jailer,1,1
D.J. Pudukkottai,district_jail,general,Grade I Warder,8,8
D.J. Pudukkottai,district_jail,general,Grade II Warder,26,25
D.J. Pudukkottai,district_jail,general,Jailer,1,1
D.J. Ramanathapuram,district_jail,general,Assistant Jailer,3,2
D.J. Ramanathapuram,district_jail,general,Chief Head Warder,5,5
D.J. Ramanathapuram,district_jail,general,Deputy Jailer,1,1
D.J. Ramanathapuram,district_jail,general,Grade I Warder,3,3
D.J. Ramanathapuram,district_jail,general,Grade II Warder,17,15
D.J. Ramanathapuram,district_jail,general,Jailer,1,1
D.J. Theni,district_jail,general,Assistant Jailer,3,2
D.J. Theni,district_jail,general,Chief Head Warder,5,5
D.J. Theni,district_jail,general,Deputy Jailer,1,1
D.J. Theni,district_jail,general,Grade I Warder,3,3
D.J. Theni,district_jail,general,Grade II Warder,17,17
D.J. Theni,district_jail,general,Jailer,1,0
D.J. Tiruppur,district_jail,general,Assistant Jailer,2,2
D.J. Tiruppur,district_jail,general,Chief Head Warder,3,3
D.J. Tiruppur,district_jail,general,Deputy Jailer,1,1
D.J. Tiruppur,district_jail,general,Grade I Warder,2,2
D.J. Tiruppur,district_jail,general,Grade II Warder,12,8
D.J. Tiruppur,district_jail,general,Jailer,1,0
D.J. Virudhunagar,district_jail,general,Assistant Jailer,3,3
D.J. Virudhunagar,district_jail,general,Chief Head Warder,5,5
D.J. Virudhunagar,district_jail,general,Deputy Jailer,1,0
D.J. Virudhunagar,district_jail,general,Grade I Warder,3,3
D.J. Virudhunagar,district_jail,general,Grade II Warder,16,16
D.J. Virudhunagar,district_jail,general,Jailer,1,0
Dharapuram,sub_jail,general,Assistant Jailer,1,1
Dharapuram,sub_jail,general,Chief Head Warder,2,2
Dharapuram,sub_jail,general,Grade I Warder,2,2
Dharapuram,sub_jail,general,Grade II Warder,6,6
Erode,sub_jail,general,Assistant Jailer,1,1
Erode,sub_jail,general,Chief Head Warder,2,2
Erode,sub_jail,general,Grade I Warder,2,2
Erode,sub_jail,general,Grade II Warder,6,6
Erode @ Gobichettipalayam,district_jail,general,Assistant Jailer,3,2
Erode @ Gobichettipalayam,district_jail,general,Chief Head Warder,5,5
Erode @ Gobichettipalayam,district_jail,general,Deputy Jailer,1,1
Erode @ Gobichettipalayam,district_jail,general,Grade I Warder,3,3
Erode @ Gobichettipalayam,district_jail,general,Grade II Warder,17,14
Erode @ Gobichettipalayam,district_jail,general,Jailer,1,0
"Female Jail, Perurani",sub_jail,general,Assistant Jailer,1,1
"Female Jail, Perurani",sub_jail,general,Chief Head Warder,2,2
"Female Jail, Perurani",sub_jail,general,Grade I Warder,1,1
"Female Jail, Perurani",sub_jail,general,Grade II Warder,4,4
Gingee,sub_jail,general,Assistant Jailer,1,1
Gingee,sub_jail,general,Chief Head Warder,2,2
Gingee,sub_jail,general,Grade I Warder,2,2
Gingee,sub_jail,general,Grade II Warder,6,6
Gudalur,sub_jail,general,Assistant Jailer,1,0
Gudalur,sub_jail,general,Chief Head Warder,2,2
Gudalur,sub_jail,general,Grade I Warder,2,2
Gudalur,sub_jail,general,Grade II Warder,6,4
Gudiyatham,sub_jail,general,Assistant Jailer,1,0
Gudiyatham,sub_jail,general,Chief Head Warder,2,2
Gudiyatham,sub_jail,general,Grade I Warder,2,2
Gudiyatham,sub_jail,general,Grade II Warder,6,6
Harur,sub_jail,general,Assistant Jailer,1,1
Harur,sub_jail,general,Chief Head Warder,2,2
Harur,sub_jail,general,Grade I Warder,2,2
Harur,sub_jail,general,Grade II Warder,6,6
Hosur,sub_jail,general,Assistant Jailer,1,1
Hosur,sub_jail,general,Chief Head Warder,2,2
Hosur,sub_jail,general,Grade I Warder,2,2
Hosur,sub_jail,general,Grade II Warder,6,6
Jeyankondam,sub_jail,general,Assistant Jailer,1,1
Jeyankondam,sub_jail,general,Chief Head Warder,2,2
Jeyankondam,sub_jail,general,Grade I Warder,2,2
Jeyankondam,sub_jail,general,Grade II Warder,6,5
Kallakurichi,sub_jail,general,Assistant Jailer,1,1
Kallakurichi,sub_jail,general,Chief Head Warder,2,2
Kallakurichi,sub_jail,general,Grade I Warder,2,2
Kallakurichi,sub_jail,general,Grade II Warder,6,6
Kancheepuram,sub_jail,general,Assistant Jailer,1,1
Kancheepuram,sub_jail,general,Chief Head Warder,2,2
Kancheepuram,sub_jail,general,Grade I Warder,2,2
Kancheepuram,sub_jail,general,Grade II Warder,6,6
Kanniyakumari @ Nagercoil,district_jail,general,Assistant Jailer,3,3
Kanniyakumari @ Nagercoil,district_jail,general,Chief Head Warder,5,5
Kanniyakumari @ Nagercoil,district_jail,general,Deputy Jailer,1,1
Kanniyakumari @ Nagercoil,district_jail,general,Grade I Warder,4,4
Kanniyakumari @ Nagercoil,district_jail,general,Grade II Warder,12,12
Kanniyakumari @ Nagercoil,district_jail,general,Jailer,1,0
Karur,sub_jail,general,Assistant Jailer,1,1
Karur,sub_jail,general,Chief Head Warder,2,2
Karur,sub_jail,general,Grade I Warder,2,2
Karur,sub_jail,general,Grade II Warder,6,6
Keeranur,sub_jail,general,Assistant Jailer,1,0
Keeranur,sub_jail,general,Chief Head Warder,2,2
Keeranur,sub_jail,general,Grade I Warder,2,1
Keeranur,sub_jail,general,Grade II Warder,6,1
Kodaikanal,sub_jail,general,Assistant Jailer,1,1
Kodaikanal,sub_jail,general,Chief Head Warder,2,2
Kodaikanal,sub_jail,general,Grade I Warder,2,2
Kodaikanal,sub_jail,general,Grade II Warder,6,6
Kokkirakulam (Women),special_sub_jail,general,Assistant Jailer,1,1
Kokkirakulam (Women),special_sub_jail,general,Chief Head Warder,1,1
Kokkirakulam (Women),special_sub_jail,general,Deputy Jailer,1,1
Kokkirakulam (Women),special_sub_jail,general,Grade I Warder,4,4
Kokkirakulam (Women),special_sub_jail,general,Grade II Warder,9,9
Kovilpatti,sub_jail,general,Assistant Jailer,1,1
Kovilpatti,sub_jail,general,Chief Head Warder,2,2
Kovilpatti,sub_jail,general,Grade I Warder,2,2
Kovilpatti,sub_jail,general,Grade II Warder,6,6
Krishnagiri,sub_jail,general,Assistant Jailer,1,1
Krishnagiri,sub_jail,general,Chief Head Warder,2,2
Krishnagiri,sub_jail,general,Grade I Warder,2,2
Krishnagiri,sub_jail,general,Grade II Warder,6,6
Kulithalai,sub_jail,general,Assistant Jailer,1,1
Kulithalai,sub_jail,general,Chief Head Warder,2,2
Kulithalai,sub_jail,general,Grade I Warder,2,1
Kulithalai,sub_jail,general,Grade II Warder,6,6
Kumbakonam,sub_jail,general,Assistant Jailer,1,1
Kumbakonam,sub_jail,general,Chief Head Warder,2,2
Kumbakonam,sub_jail,general,Grade I Warder,2,2
Kumbakonam,sub_jail,general,Grade II Warder,6,4
Kuzhithurai,sub_jail,general,Assistant Jailer,1,0
Kuzhithurai,sub_jail,general,Chief Head Warder,2,2
Kuzhithurai,sub_jail,general,Grade I Warder,2,2
Kuzhithurai,sub_jail,general,Grade II Warder,6,6
Lalgudi,sub_jail,general,Assistant Jailer,1,1
Lalgudi,sub_jail,general,Chief Head Warder,2,2
Lalgudi,sub_jail,general,Grade I Warder,2,2
Lalgudi,sub_jail,general,Grade II Warder,6,6
Madurai,central_jail,general,Assistant Jailer,12,9
Madurai,central_jail,general,Chief Head Warder,28,28
Madurai,central_jail,general,Deputy Jailer,3,3
Madurai,central_jail,general,Grade I Warder,88,88
Madurai,central_jail,general,Grade II Warder,101,101
Madurai,central_jail,general,Jailer,2,1
Madurai,spw,women,Assistant Jailer,3,3
Madurai,spw,women,Chief Head Warder,5,5
Madurai,spw,women,Deputy Jailer,1,0
Madurai,spw,women,Grade I Warder,3,3
Madurai,spw,women,Grade II Warder,17,15
Madurai,spw,women,Jailer,1,1
Madurantagam,sub_jail,general,Assistant Jailer,1,0
Madurantagam,sub_jail,general,Chief Head Warder,2,2
Madurantagam,sub_jail,general,Grade I Warder,2,1
Madurantagam,sub_jail,general,Grade II Warder,6,0
Manaparai,sub_jail,general,Assistant Jailer,1,0
Manaparai,sub_jail,general,Chief Head Warder,2,2
Manaparai,sub_jail,general,Grade I Warder,2,1
Manaparai,sub_jail,general,Grade II Warder,6,3
Mannargudi,sub_jail,general,Assistant Jailer,1,1
Mannargudi,sub_jail,general,Chief Head Warder,2,2
Mannargudi,sub_jail,general,Grade I Warder,2,2
Mannargudi,sub_jail,general,Grade II Warder,6,4
Mayiladuthurai,sub_jail,general,Assistant Jailer,1,1
Mayiladuthurai,sub_jail,general,Chief Head Warder,2,2
Mayiladuthurai,sub_jail,general,Grade I Warder,2,2
Mayiladuthurai,sub_jail,general,Grade II Warder,6,5
Melur,sub_jail,general,Assistant Jailer,1,1
Melur,sub_jail,general,Chief Head Warder,2,2
Melur,sub_jail,general,Grade I Warder,2,2
Melur,sub_jail,general,Grade II Warder,6,4
Mettupalayam,sub_jail,general,Assistant Jailer,1,0
Mettupalayam,sub_jail,general,Chief Head Warder,2,2
Mettupalayam,sub_jail,general,Grade I Warder,2,2
Mettupalayam,sub_jail,general,Grade II Warder,6,1
Mudukulathur,sub_jail,general,Assistant Jailer,1,1
Mudukulathur,sub_jail,general,Chief Head Warder,2,2
Mudukulathur,sub_jail,general,Grade I Warder,2,2
Mudukulathur,sub_jail,general,Grade II Warder,6,5
Nagapattinam,district_jail,general,Assistant Jailer,3,3
Nagapattinam,district_jail,general,Chief Head Warder,5,5
Nagapattinam,district_jail,general,Deputy Jailer,1,1
Nagapattinam,district_jail,general,Grade I Warder,3,3
Nagapattinam,district_jail,general,Grade II Warder,17,11
Nagapattinam,district_jail,general,Jailer,1,0
Namakkal,sub_jail,general,Assistant Jailer,1,1
Namakkal,sub_jail,general,Chief Head Warder,2,2
Namakkal,sub_jail,general,Grade I Warder,2,2
Namakkal,sub_jail,general,Grade II Warder,6,6
Nanguneri (Men),special_sub_jail,general,Chief Head Warder,2,2
Nanguneri (Men),special_sub_jail,general,Deputy Jailer,1,1
Nanguneri (Men),special_sub_jail,general,Grade I Warder,3,3
Nanguneri (Men),special_sub_jail,general,Grade II Warder,11,11
Nannilam,sub_jail,general,Assistant Jailer,1,1
Nannilam,sub_jail,general,Chief Head Warder,2,2
Nannilam,sub_jail,general,Grade I Warder,2,2
Nannilam,sub_jail,general,Grade II Warder,6,3
Nilakottai,women_sub_jail,women,Assistant Jailer,1,1
Nilakottai,women_sub_jail,women,Chief Head Warder,2,2
Nilakottai,women_sub_jail,women,Grade I Warder,2,2
Nilakottai,women_sub_jail,women,Grade II Warder,6,6
Omalur,sub_jail,general,Assistant Jailer,1,0
Omalur,sub_jail,general,Chief Head Warder,2,2
Omalur,sub_jail,general,Grade I Warder,2,2
Omalur,sub_jail,general,Grade II Warder,6,6
Ooty,sub_jail,general,Assistant Jailer,1,1
Ooty,sub_jail,general,Chief Head Warder,2,2
Ooty,sub_jail,general,Grade I Warder,2,2
Ooty,sub_jail,general,Grade II Warder,6,2
Palani,sub_jail,general,Assistant Jailer,1,1
Palani,sub_jail,general,Chief Head Warder,2,2
Palani,sub_jail,general,Grade I Warder,2,2
Palani,sub_jail,general,Grade II Warder,6,6
Palayamkottai,central_jail,general,Assistant Jailer,13,13
Palayamkottai,central_jail,general,Chief Head Warder,29,29
Palayamkottai,central_jail,general,Deputy Jailer,3,3
Palayamkottai,central_jail,general,Grade I Warder,81,79
Palayamkottai,central_jail,general,Grade II Warder,149,149
Palayamkottai,central_jail,general,Jailer,2,1
Palladam,sub_jail,general,Assistant Jailer,1,1
Palladam,sub_jail,general,Chief Head Warder,2,2
Palladam,sub_jail,general,Grade I Warder,2,2
Palladam,sub_jail,general,Grade II Warder,6,2
Panruti,sub_jail,general,Assistant Jailer,1,1
Panruti,sub_jail,general,Chief Head Warder,2,2
Panruti,sub_jail,general,Grade I Warder,2,2
Panruti,sub_jail,general,Grade II Warder,6,6
Papanasam,sub_jail,general,Assistant Jailer,1,1
Papanasam,sub_jail,general,Chief Head Warder,2,2
Papanasam,sub_jail,general,Grade I Warder,2,2
Papanasam,sub_jail,general,Grade II Warder,6,6
Paramakudi,women_sub_jail,women,Assistant Jailer,1,1
Paramakudi,women_sub_jail,women,Chief Head Warder,2,2
Paramakudi,women_sub_jail,women,Grade I Warder,2,2
Paramakudi,women_sub_jail,women,Grade II Warder,6,5
Perambalur,sub_jail,general,Assistant Jailer,1,1
Perambalur,sub_jail,general,Chief Head Warder,2,2
Perambalur,sub_jail,general,Grade I Warder,2,2
Perambalur,sub_jail,general,Grade II Warder,6,6
Periakulam,sub_jail,general,Assistant Jailer,1,1
Periakulam,sub_jail,general,Chief Head Warder,2,2
Periakulam,sub_jail,general,Grade I Warder,2,2
Periakulam,sub_jail,general,Grade II Warder,6,5
Perundhurai,sub_jail,general,Assistant Jailer,1,1
Perundhurai,sub_jail,general,Chief Head Warder,2,2
Perundhurai,sub_jail,general,Grade I Warder,2,2
Perundhurai,sub_jail,general,Grade II Warder,6,6
Pollachi,sub_jail,general,Chief Head Warder,2,2
Pollachi,sub_jail,general,Deputy Jailer,1,1
Pollachi,sub_jail,general,Grade I Warder,3,3
Pollachi,sub_jail,general,Grade II Warder,6,4
Polur,sub_jail,general,Assistant Jailer,1,0
Polur,sub_jail,general,Chief Head Warder,2,2
Polur,sub_jail,general,Grade I Warder,2,2
Polur,sub_jail,general,Grade II Warder,6,7
Ponneri,sub_jail,general,Assistant Jailer,1,0
Ponneri,sub_jail,general,Chief Head Warder,2,2
Ponneri,sub_jail,general,Grade I Warder,2,2
Ponneri,sub_jail,general,Grade II Warder,6,5
Poonamallee (Men),special_sub_jail,general,Assistant Jailer,1,1
Poonamallee (Men),special_sub_jail,general,Chief Head Warder,1,1
Poonamallee (Men),special_sub_jail,general,Grade I Warder,2,2
Poonamallee (Men),special_sub_jail,general,Grade II Warder,6,2
Purasaraidaiudaippu,open_air_jail,general,Chief Head Warder,1,1
Purasaraidaiudaippu,open_air_jail,general,Deputy Jailer,1,1
Purasaraidaiudaippu,open_air_jail,general,Grade I Warder,3,3
Purasaraidaiudaippu,open_air_jail,general,Grade II Warder,8,7
Rasipuram,sub_jail,general,Assistant Jailer,1,0
Rasipuram,sub_jail,general,Chief Head Warder,2,2
Rasipuram,sub_jail,general,Grade I Warder,2,1
